step,train_loss,book_val_loss,dialogue_val_loss,combined_val_loss,lr,grad_norm
1,0.35996896028518677,1.5157416723668575,0.479837148450315,0.7388132794294506,5.0000000000000004e-08,0.38485899567604065
500,0.39872220158576965,1.5349445585161448,0.3798145856708288,0.6685970788821578,2.5e-05,0.24512743949890137
1000,1.374215841293335,1.5604553613811731,0.33953144773840904,0.6447624261491001,5e-05,0.964779257774353
1500,1.3716906309127808,1.5677206292748451,0.31808285182341933,0.6304922961862758,4.998843986451548e-05,0.6295498013496399
2000,0.37204861640930176,1.5700050070881844,0.309096050914377,0.6243232899578288,4.995377133688257e-05,0.18767471611499786
2500,1.3640010356903076,1.558618864044547,0.30731366388499737,0.6201399639248848,4.989603004135696e-05,0.3693931996822357
3000,0.3062998056411743,1.566970355808735,0.3021370046772063,0.6183453424600884,4.981527531102304e-05,0.18779394030570984
3500,0.30709508061408997,1.5542351175099611,0.2919252442661673,0.6075027125771157,4.971159012682513e-05,0.24293926358222961
4000,0.3229723572731018,1.5566579438745975,0.2894412516616285,0.6062454247148708,4.9585081032298974e-05,0.24322596192359924
4500,0.3139619827270508,1.5694365054368973,0.28898873180150986,0.6091006752103567,4.943587802409103e-05,0.18257012963294983
5000,0.2987869083881378,1.5553145240992308,0.28435467602685094,0.6020946380449459,4.926413441837816e-05,0.2872973680496216
5500,0.29974639415740967,1.5547031946480274,0.28083379566669464,0.5993011454120278,4.907002669332487e-05,0.23086076974868774
6000,0.3212099075317383,1.5766429267823696,0.2789349134545773,0.6033619167865254,4.8853754307740043e-05,0.20432054996490479
6500,1.2974817752838135,1.5699803046882153,0.28232439677231014,0.6042383737512864,4.861553949611961e-05,0.36810052394866943
7000,0.2923755347728729,1.5674898102879524,0.2789770932868123,0.6011052725370973,4.835562704028549e-05,0.21126218140125275
7500,0.31723636388778687,1.5593429394066334,0.27407814911566675,0.5953943466884084,4.8074284017855784e-05,0.19353194534778595
8000,1.4411931037902832,1.561056725680828,0.2748574875295162,0.5964072970673442,4.777179952780443e-05,0.5150105357170105
8500,0.2826654314994812,1.5733056589961052,0.26952237146906555,0.5954681933508255,4.744848439339251e-05,0.21586653590202332
9000,0.2964293658733368,1.5701800473034382,0.27158252126537263,0.596231902774889,4.710467084277626e-05,0.23573875427246094
9500,1.3979116678237915,1.5537244621664286,0.26870545488782227,0.5899602067074738,4.6740712167620296e-05,0.5016921162605286
10000,0.2775137424468994,1.5750882532447577,0.2696170734707266,0.5959848684142344,4.6356982360066416e-05,0.2065766453742981
10500,0.2788704037666321,1.5658506695181131,0.26865954766981304,0.5929573281318881,4.595387572843151e-05,0.19705906510353088
11000,0.26829588413238525,1.5753764789551497,0.267507070209831,0.5944744223961607,4.5531806492029025e-05,0.19812436401844025
11500,1.4449834823608398,1.5640441812574863,0.2715699612163007,0.5946885162265971,4.5091208355530677e-05,0.4317654073238373
12000,0.2902618646621704,1.5714942272752523,0.26840857579372823,0.5941799886641093,4.4632534063305524e-05,0.30490735173225403
12500,0.2818952798843384,1.5561669580638409,0.2633506520651281,0.5865547285648063,4.41562549341946e-05,0.1859091818332672
13000,0.2558974027633667,1.5480173882097006,0.266045211115852,0.5865382553893141,4.366286037719887e-05,0.21361161768436432
13500,0.2657719552516937,1.575026972219348,0.2611787060741335,0.5896407726104371,4.3152857388578445e-05,0.18291570246219635
14000,1.3603754043579102,1.5813464112579823,0.26729080849327147,0.5958047091844492,4.262677003087963e-05,0.40539926290512085
14500,1.372016191482544,1.5755107458680868,0.2626643353141844,0.59087593795266,4.2085138894425246e-05,0.5022155046463013
15000,0.30429357290267944,1.5585549715906382,0.2600169791840017,0.5846514772856608,4.1528520541821506e-05,0.24575215578079224
15500,0.27586227655410767,1.5596329811960459,0.26282470114529133,0.58702677115798,4.095748693605236e-05,0.197167307138443
16000,0.2703372836112976,1.5671946816146374,0.25592350494116545,0.5837412991095334,4.037262485274882e-05,0.2390250414609909
16500,0.29839327931404114,1.5707798078656197,0.26200389536097646,0.5891978734871373,3.9774535277237345e-05,0.20899808406829834
17000,0.27901777625083923,1.5546961389482021,0.2618982377462089,0.5850977130467072,3.916383278698682e-05,0.2536209523677826
17500,0.28488513827323914,1.5570134557783604,0.26319698547013104,0.5866511030471884,3.854114492008861e-05,0.3906806409358978
18000,1.3886255025863647,1.5595437437295914,0.25709189288318157,0.582704855594784,3.79071115304188e-05,0.49334052205085754
18500,0.2783867120742798,1.560273328796029,0.26015392830595374,0.5851837784284726,3.726238413014506e-05,0.25448328256607056
19000,0.2699679732322693,1.570478593930602,0.25690517760813236,0.5852985316887498,3.660762522025386e-05,0.4111722707748413
19500,0.256677508354187,1.5606700461357832,0.25880686985328794,0.5842726639239118,3.594350760978592e-05,0.2859436571598053
20000,0.2819429934024811,1.5610211566090584,0.25736809824593365,0.5832813628367148,3.5270713724479426e-05,0.2148650884628296
20500,0.2845337986946106,1.5600111745297909,0.25809949077665806,0.5835774117149413,3.4589934905531474e-05,0.2326892763376236
21000,0.24216461181640625,1.5592400319874287,0.2603863044641912,0.5850997363450006,3.390187069919823e-05,0.2667247951030731
21500,1.4003570079803467,1.567938843742013,0.2553428921382874,0.5834918800392188,3.320722813796391e-05,0.39254841208457947
22000,1.3373034000396729,1.5757608991116285,0.2568637179210782,0.5865880132187158,3.2506721014017076e-05,0.5650393962860107
22500,0.27088385820388794,1.5640239771455526,0.2570896151009947,0.5838232056121342,3.180106914578088e-05,0.21286574006080627
23000,0.30802014470100403,1.5506953671574593,0.2553319693543017,0.5791728188050911,3.109099763825104e-05,0.2151666283607483
23500,1.4311144351959229,1.5758922770619392,0.25917482702061534,0.5883541895309463,3.037723613790139e-05,0.360582172870636
24000,0.26095300912857056,1.5616525392979383,0.2561172612477094,0.5825010807602666,2.966051808292284e-05,0.16325147449970245
24500,0.23508799076080322,1.5630950015038252,0.25554556562565267,0.5824329245951958,2.8941579949566045e-05,0.26737210154533386
25000,0.2727512717247009,1.5657316464930773,0.2546647829003632,0.5824314987985417,2.822116049536225e-05,0.216640442609787
25500,0.26456138491630554,1.5625623315572739,0.25409200601279736,0.5812095873989165,2.75e-05,0.18919815123081207
26000,0.26853740215301514,1.5543840900063515,0.2534186390694231,0.5786600018036552,2.677883950463776e-05,0.2277437448501587
26500,0.24876123666763306,1.5611379202455282,0.2553018503822386,0.581760867848061,2.6058420050433964e-05,0.1683824062347412
27000,0.2565440833568573,1.5622650552541018,0.24995576194487512,0.5780330852721818,2.5339481917077163e-05,0.18799588084220886
27500,0.28999853134155273,1.5719719547778368,0.2523872333113104,0.582283413677942,2.4622763862098614e-05,0.2560060918331146
28000,0.2590181827545166,1.5686246491968632,0.2576816224027425,0.5854173791012727,2.3909002361748974e-05,0.3524019420146942
28500,0.2698131501674652,1.565551057457924,0.24979417421855032,0.5787333950283937,2.319893085421913e-05,0.1980867236852646
29000,0.2720264196395874,1.5510098207741976,0.25091925938613713,0.5759418997331522,2.249327898598293e-05,0.24921822547912598
29500,0.2593272924423218,1.5662797335535288,0.25122465123422444,0.5799884218140505,2.179277186203609e-05,0.23271578550338745
30000,1.3963381052017212,1.5626231543719769,0.25124555360525846,0.5790899537969381,2.1098129300801772e-05,0.4477011263370514
30500,1.4033697843551636,1.5594336465001106,0.25538121024146676,0.5813943193061277,2.0410065094468535e-05,0.5295174717903137
31000,0.24522709846496582,1.577068554237485,0.25229221279732883,0.5834862981573679,1.9729286275520583e-05,0.22348007559776306
31500,1.40106201171875,1.559448042884469,0.25004087830893695,0.57739266945282,1.9056492390214087e-05,0.5680346488952637
32000,0.279344379901886,1.5687956996262074,0.25218398217111826,0.5813369115348905,1.839237477974614e-05,0.23038500547409058
32500,1.3756095170974731,1.5533502120524645,0.2517568049952388,0.5771551567595452,1.7737615869854944e-05,0.44972360134124756
33000,1.3944895267486572,1.553555939346552,0.25429184967651963,0.5791078720940277,1.7092888469581213e-05,0.4303768575191498
33500,0.2445782572031021,1.5803567003458738,0.25137248169630766,0.5836185363586992,1.645885507991141e-05,0.23662389814853668
34000,0.2535497546195984,1.5603080801665783,0.24808966903947294,0.5761442718212493,1.5836167213013186e-05,0.16165612637996674
34500,1.4279706478118896,1.560517506673932,0.2538626182358712,0.5805263403453864,1.5225464722762656e-05,0.42613303661346436
35000,0.2735292911529541,1.565436178818345,0.2509835755918175,0.5795967263984494,1.4627375147251189e-05,0.23636025190353394
35500,0.222929447889328,1.5644187312573195,0.25281710596755147,0.5807175122899935,1.4042513063947642e-05,0.17517855763435364
36000,1.4255867004394531,1.5533819254487753,0.25330045772716403,0.5783208246575668,1.3471479458178499e-05,0.5537170767784119
36500,0.2729599177837372,1.5482549164444208,0.2551738035399467,0.5784440817660652,1.2914861105574767e-05,0.2407362014055252
37000,0.2881314158439636,1.5569480638951063,0.25265154778026044,0.5787256768089719,1.2373229969120371e-05,0.25501781702041626
37500,1.3796700239181519,1.5533004626631737,0.25312335579656065,0.5781676325132139,1.1847142611421557e-05,0.4768705666065216
38000,0.2697773575782776,1.5600382220000029,0.25391203071922064,0.5804435785394162,1.1337139622801132e-05,0.24929946660995483
38500,1.3824403285980225,1.550921568647027,0.2504090324509889,0.5755371664999984,1.0843745065805404e-05,0.34836500883102417
39000,0.28949448466300964,1.5588087309151888,0.2522206846624613,0.5788676962256432,1.0367465936694476e-05,0.2584705054759979
39500,0.24864570796489716,1.5755865443497896,0.2494825453031808,0.581008545064833,9.90879164446933e-06,0.24930591881275177
40000,0.24762612581253052,1.5514219347387552,0.25529418140649796,0.5793261197395623,9.468193507970979e-06,0.30654749274253845
40500,1.3835736513137817,1.5624251253902912,0.2492019624914974,0.5775077532161959,9.04612427156849e-06,0.41353729367256165
41000,0.250768780708313,1.5575579199939966,0.2503033448010683,0.5771169885993004,8.643017639933586e-06,0.1903373897075653
41500,1.36100172996521,1.5646671913564205,0.2479453352279961,0.5771257992601022,8.259287832379713e-06,0.39326199889183044
42000,0.26574933528900146,1.5626141522079706,0.2498661654535681,0.5780531621421687,7.89532915722374e-06,0.2214803248643875
42500,0.2851215600967407,1.577922035008669,0.2526249042712152,0.5839491869555786,7.5515156066074985e-06,0.1486925482749939
43000,0.2873908281326294,1.5598997585475445,0.2524197241291404,0.5792897327337414,7.228200472195572e-06,0.21728526055812836
43500,1.3516513109207153,1.5606216043233871,0.255468474002555,0.581756756582763,6.925715982144222e-06,0.36413368582725525
44000,0.2720913887023926,1.5485739670693874,0.2563759055919945,0.5794254209613428,6.644372959714514e-06,0.17766384780406952
44500,0.24878306686878204,1.5568058378994465,0.2520215795375407,0.5782176441280171,6.384460503880391e-06,0.1615338772535324
45000,1.3829920291900635,1.5547924935817719,0.25147753511555493,0.5773062747321092,6.146245692259956e-06,0.4462670683860779
45500,0.24761860072612762,1.5563874896615744,0.2553004454821348,0.5805722065269947,5.929973306675137e-06,0.1703038364648819
46000,0.2703487277030945,1.5629958305507898,0.249442899832502,0.577831132512074,5.735865581621837e-06,0.1896517425775528
46500,0.28590673208236694,1.5753502715379,0.2538608459290117,0.5842332023312338,5.564121975908969e-06,0.19323867559432983
47000,0.26505887508392334,1.573864510282874,0.25125586218200624,0.5819080242072232,5.414918967701028e-06,0.23139500617980957
47500,1.3699636459350586,1.5630511473864317,0.2507518061902374,0.578826641489286,5.288409873174871e-06,0.4531686305999756
48000,0.2518104314804077,1.5669020526111126,0.25058584730140865,0.5796648986288346,5.184724688976964e-06,0.20142346620559692
48500,1.3900152444839478,1.558503657579422,0.24910339969210327,0.576453464163933,5.1039699586430406e-06,0.45975571870803833
49000,1.3694736957550049,1.565458431839943,0.24832225195132196,0.5776062969234772,5.046228663117433e-06,0.39272037148475647
